,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
42,3,2,1,1,1,0,3,1,3,2,2,4
43,2,1,1,0,1,1,3,1,4,3,2,4
44,2,1,1,0,1,1,3,1,4,3,2,4
45,3,0,1,0,1,1,3,1,3,3,3,6
46,2,3,1,0,1,2,4,1,4,3,2,1
47,2,3,1,0,1,2,4,1,4,3,2,3
48,3,2,1,1,1,0,3,1,3,2,2,4
49,2,1,2,0,1,1,3,1,5,3,2,3
50,3,1,1,0,1,1,3,0,5,2,5,4
51,2,1,1,0,1,1,2,0,5,4,4,6
52,2,0,1,0,1,0,1,0,5,2,4,6
53,2,0,2,0,1,1,2,0,5,1,4,4
54,2,1,3,0,4,1,2,1,2,1,1,4
55,2,1,2,0,0,0,4,0,3,3,4,4
56,3,1,2,1,1,1,4,1,3,3,2,4
57,2,1,1,1,1,1,3,1,5,1,1,4
58,2,2,0,0,1,0,1,1,3,1,3,4
59,3,1,2,0,0,1,2,1,5,1,3,4
60,2,1,1,0,2,0,2,1,2,2,0,4
61,2,1,1,1,1,1,3,1,5,1,1,4
62,3,3,0,0,0,0,3,0,2,1,4,3
63,2,2,0,0,1,0,1,1,3,1,3,4
64,3,1,1,0,0,1,2,1,3,2,3,4
65,2,2,0,0,1,0,2,1,4,3,1,3
66,2,1,1,0,0,0,2,0,4,3,7,6
67,2,1,0,0,0,2,3,0,3,2,2,3
68,2,1,1,0,1,0,2,1,5,4,4,8
69,3,1,1,1,1,0,2,1,3,1,2,3
70,2,1,2,1,1,1,5,1,3,3,1,4
71,2,2,1,0,1,1,5,1,5,4,2,3
72,2,1,1,0,1,1,4,1,8,5,3,3
73,4,1,2,0,1,0,1,1,2,3,1,4
74,2,1,1,0,1,0,2,1,5,4,4,8
75,3,1,1,1,1,0,2,1,3,1,2,3
76,3,0,2,0,1,1,1,0,4,1,7,6
77,3,2,2,0,0,0,1,0,5,4,6,6
78,3,0,1,1,1,0,2,1,1,3,2,3
79,2,4,1,0,1,0,2,1,4,1,1,3
80,2,1,1,0,1,1,2,1,6,6,4,4
81,3,1,2,2,1,1,3,2,4,4,1,4
82,3,2,1,0,1,1,3,1,4,2,3,3
83,3,1,1,1,1,1,4,1,5,2,2,4
84,3,3,3,1,1,1,3,1,3,2,1,3
85,3,3,3,1,1,1,3,2,3,2,1,4
86,3,3,3,1,1,1,3,1,3,2,1,4
87,2,1,1,1,1,2,4,1,4,3,2,4
88,3,3,3,1,1,1,3,1,3,2,1,3
89,3,3,3,1,1,1,3,2,3,2,1,4
90,3,3,3,1,1,1,3,1,3,2,1,4
91,2,1,2,1,1,2,5,1,3,2,1,3
92,2,1,1,0,0,1,2,0,4,2,7,6
93,2,1,1,0,0,1,2,0,4,2,7,6
94,3,0,1,0,0,1,3,0,4,2,5,6
95,3,1,1,1,1,2,5,1,2,2,1,4
96,2,2,3,2,1,0,3,2,3,3,1,4
97,4,1,2,0,0,0,1,0,2,1,5,6
98,5,2,2,1,0,0,1,1,1,0,3,1
99,2,2,3,2,1,0,3,2,3,3,1,4
100,3,1,2,1,1,1,4,2,2,2,1,3
101,3,0,1,1,1,2,3,1,6,2,2,3
102,2,1,1,1,1,1,3,1,5,1,2,3
103,3,2,2,2,1,1,3,2,2,2,1,3
104,3,1,2,1,1,1,4,2,2,2,1,3
105,3,0,1,2,1,1,2,1,4,1,1,4
106,3,0,1,1,1,2,3,1,6,2,2,3
107,3,1,2,2,0,2,3,2,3,4,1,4
108,3,1,2,2,0,2,3,2,3,4,1,4
109,2,2,1,0,1,1,4,1,4,4,3,3
110,2,0,3,1,2,2,3,1,1,1,1,4
111,3,1,2,2,1,1,5,2,2,3,1,3
112,3,2,3,1,1,2,4,2,2,2,1,3
113,2,3,2,1,1,0,3,1,4,3,1,3
114,2,3,2,1,1,0,3,1,4,3,1,3
115,1,3,0,0,1,0,2,1,8,2,2,1
116,2,2,1,0,0,0,3,0,5,2,5,4
117,3,0,2,0,0,0,1,0,4,2,6,4
118,3,2,3,1,1,2,4,2,2,2,1,3
119,3,2,2,1,1,1,4,2,2,3,1,3
120,2,2,0,0,1,0,1,1,4,3,3,3
121,3,1,1,1,1,1,2,2,2,3,1,3
122,3,0,1,0,1,1,2,1,5,1,2,3
123,2,1,1,0,1,0,3,1,5,1,1,4
124,2,0,2,0,2,1,3,1,4,1,2,4
125,2,1,2,0,0,2,3,0,4,3,4,4
126,3,3,1,0,0,0,2,1,3,2,4,3
127,2,1,1,1,0,1,4,1,6,3,2,6
128,2,2,3,0,1,1,3,1,5,4,4,6
129,2,2,3,0,1,1,4,1,5,4,4,4
130,1,1,1,1,0,0,1,1,6,1,4,3
131,2,1,1,1,0,1,4,1,6,3,2,6
132,2,3,2,1,0,1,5,2,4,4,1,3
133,2,1,1,2,0,1,4,2,4,3,1,3
134,2,1,1,1,0,1,4,1,4,3,1,3
135,2,1,1,2,0,1,3,2,4,3,2,3
136,4,1,2,0,0,1,2,0,3,1,4,4
137,3,2,4,1,1,1,3,2,3,2,1,3
138,2,1,2,0,0,0,2,0,3,3,4,6
139,4,1,2,0,0,0,1,1,4,3,6,4
140,2,2,2,0,1,0,1,1,5,2,3,3
141,3,2,4,1,1,1,3,2,3,2,1,3
142,3,1,2,0,0,1,2,0,4,3,4,4
143,4,1,2,0,0,0,2,1,4,3,2,4
144,4,1,2,0,0,0,1,0,3,3,5,4
145,2,1,2,0,0,1,2,0,2,1,4,4
146,1,0,1,0,1,1,3,0,5,1,3,4
147,2,5,0,0,1,0,2,1,5,1,1,1
148,2,2,1,0,0,0,1,0,5,4,6,6
149,2,1,1,0,1,0,2,1,2,1,2,4
150,3,1,2,1,1,1,3,1,3,1,5,6
151,3,0,2,1,1,1,2,1,3,2,3,4
152,2,1,1,0,1,0,2,1,2,1,2,4
153,3,0,2,0,1,1,2,0,3,2,3,3
154,4,1,2,1,1,0,1,1,3,7,2,4
155,3,1,2,2,1,1,4,2,1,2,1,4
156,3,1,2,2,1,1,4,2,1,2,1,4
157,2,2,1,0,0,1,2,0,5,2,7,6
158,1,3,0,0,0,1,2,0,5,1,6,8
159,1,3,0,0,0,1,2,0,5,1,6,8
160,2,2,1,0,0,1,2,0,5,2,7,6
161,2,1,3,2,1,0,3,2,2,2,1,3
162,2,2,1,0,1,0,1,1,5,1,4,3
163,3,1,2,2,1,1,4,2,1,2,1,4
164,2,1,2,1,1,2,4,1,3,3,2,3
165,3,1,2,1,1,2,3,1,3,3,2,3
166,4,1,2,1,1,1,4,1,3,4,2,4
167,2,3,1,0,0,0,2,0,3,2,7,6
168,3,2,1,1,1,0,3,1,3,3,2,3
169,5,3,2,1,0,0,2,1,1,0,3,3
170,3,2,2,0,1,0,2,0,3,3,7,4
171,3,1,2,0,1,0,2,0,3,1,4,4
172,3,3,2,0,0,0,2,0,2,1,5,1
173,2,1,2,0,0,1,2,0,5,1,5,6
174,3,1,1,2,1,1,3,2,3,4,3,3
175,2,1,2,1,0,1,3,1,3,0,5,4
176,3,2,2,0,1,0,1,0,2,2,7,1
177,2,1,1,1,1,1,3,1,5,1,2,3
178,2,5,0,0,1,0,2,1,3,1,1,1
179,2,1,1,0,1,1,3,1,4,5,1,4
180,2,2,1,0,1,1,3,1,4,5,2,4
181,3,2,0,0,1,2,4,1,3,2,1,3
182,2,1,2,3,1,1,3,2,1,3,1,3
183,2,1,2,2,1,2,5,2,4,4,2,4
184,2,1,3,1,1,2,5,1,2,4,2,3
185,2,2,3,1,1,2,5,1,2,4,2,3
186,2,1,2,1,0,1,3,1,3,4,3,4
187,2,2,1,0,0,1,2,1,3,3,4,3
188,2,4,2,0,0,0,2,0,4,4,7,8
189,2,1,1,1,1,1,4,1,3,3,1,1
190,2,1,1,1,1,1,4,1,3,3,1,4
191,2,1,2,3,1,1,3,2,1,3,1,3
192,2,1,2,1,1,0,2,1,2,1,5,4
193,2,0,2,0,1,1,2,1,5,2,2,3
194,2,2,2,0,5,2,3,1,2,2,1,3
195,2,2,2,0,5,2,3,1,2,1,1,4
196,2,2,2,0,5,2,4,1,2,1,1,3
197,2,1,1,1,1,1,4,1,3,2,1,3
198,3,2,1,1,1,1,4,2,3,3,1,3
199,2,1,1,1,1,1,4,1,3,2,1,3
200,2,1,1,2,1,1,4,2,3,3,2,3
201,3,2,1,1,1,1,4,2,3,3,1,3
202,2,4,1,1,1,1,5,1,4,3,2,3
203,2,1,2,2,0,1,2,1,5,3,6,4
204,1,1,2,0,1,1,2,1,5,3,3,1
205,2,1,3,1,0,1,3,1,3,2,1,3
206,3,0,1,1,1,1,2,1,4,1,1,3
207,6,3,5,0,1,0,2,1,2,3,3,1
208,2,4,1,0,0,0,1,1,5,6,3,3
209,2,3,1,0,1,0,3,1,4,6,2,4
210,1,1,1,1,0,0,1,1,5,1,4,3
211,2,0,2,0,0,1,2,0,5,4,5,6
212,3,0,1,1,1,1,2,1,4,1,1,3
213,2,0,1,0,1,1,2,1,6,1,2,4
214,2,1,1,0,0,1,2,0,5,2,4,6
215,1,1,1,1,1,1,3,1,5,1,2,3
216,3,1,2,0,0,1,3,1,2,1,4,3
217,1,1,1,1,1,1,3,1,5,1,2,3
218,1,1,1,2,1,2,3,2,5,2,2,3
219,3,1,2,0,0,1,3,1,2,1,4,3
220,3,1,2,0,0,1,3,1,2,1,4,3
221,3,5,1,1,1,1,3,1,2,3,1,4
222,2,1,1,0,0,1,2,0,5,2,4,6
223,2,1,1,0,1,1,3,1,6,1,1,4
224,2,4,1,0,1,1,3,1,6,3,3,4
225,3,1,2,2,1,1,3,2,5,1,1,3
226,2,0,1,0,1,1,4,1,7,3,2,4
227,3,1,1,1,0,2,6,1,4,3,1,4
228,2,0,1,0,1,1,4,1,7,3,2,4
229,3,1,2,2,1,1,3,2,5,1,1,3
230,2,5,0,1,1,0,3,1,5,2,1,1
231,4,1,2,1,0,1,4,2,5,3,2,4
232,4,1,2,1,0,1,4,2,5,3,2,4
233,3,1,2,2,1,1,4,2,3,2,1,4
234,3,1,2,2,1,1,4,2,3,2,1,4
235,3,1,2,2,1,1,4,2,3,2,1,4
236,3,1,2,2,1,1,4,2,3,2,1,4
237,2,4,1,1,1,1,4,1,4,3,2,4
238,3,1,3,0,0,1,2,0,5,2,4,6
239,2,1,1,2,0,0,3,2,6,4,2,4
240,3,2,1,2,1,1,4,2,4,2,1,3
241,3,2,1,1,0,0,1,1,3,3,3,3
242,3,1,2,0,0,0,2,0,3,1,5,6
243,2,1,2,0,1,2,4,1,5,4,2,4
244,2,3,3,1,1,1,3,2,3,2,1,3
245,2,0,2,0,0,0,5,1,5,6,5,4
246,2,1,1,0,0,0,3,0,3,4,7,6
247,1,1,1,0,0,0,1,0,4,1,4,6
248,1,1,1,0,0,0,1,0,4,1,4,6
249,2,3,0,1,0,0,2,1,5,2,3,3
250,2,1,1,0,1,1,4,1,9,5,3,1
251,4,1,1,2,1,1,4,2,2,3,2,0
252,2,3,3,1,1,1,3,2,3,2,1,3
253,1,1,2,0,0,0,2,0,7,2,5,0
254,1,1,2,0,1,1,3,1,4,3,2,4
255,2,1,2,0,0,1,3,1,5,4,2,8
256,2,2,1,0,0,0,2,1,4,2,4,6
257,2,2,1,0,0,0,2,1,4,2,4,6
258,2,1,2,0,0,0,2,0,5,3,6,4
259,1,2,2,0,0,0,1,0,5,1,5,1
260,2,0,2,0,1,1,2,1,5,2,3,4
261,2,2,2,2,1,1,3,2,1,2,1,3
262,2,1,2,1,0,0,1,1,4,1,3,3
263,3,2,2,1,1,2,5,2,3,4,2,4
264,2,1,2,0,0,0,3,0,3,3,4,4
265,2,2,2,2,1,1,3,2,1,2,1,3
266,2,2,1,1,1,1,3,1,4,3,1,4
267,1,4,0,0,1,1,3,1,5,4,2,3
268,1,4,0,0,1,1,3,1,5,4,2,4
269,1,4,0,0,1,1,3,1,5,4,2,4
270,2,2,1,1,1,1,3,1,4,3,1,4
271,1,5,0,0,1,1,3,1,5,4,2,3
272,1,1,1,1,1,1,3,1,5,1,2,3
273,2,4,1,0,1,0,2,1,4,1,1,3
274,3,2,3,1,1,1,5,1,2,4,2,3
275,2,1,2,1,1,1,3,1,3,4,2,4
276,2,1,2,1,1,1,3,1,3,4,2,4
277,3,1,2,0,0,0,1,0,1,3,4,3
278,2,2,2,0,1,0,1,0,2,2,4,1
279,3,2,2,0,0,0,2,0,4,5,7,6
280,3,1,2,0,0,0,2,0,4,1,7,8
281,2,2,3,0,0,1,2,0,5,4,6,8
282,2,3,2,0,1,1,4,1,3,4,4,1
283,2,2,1,2,1,1,4,2,4,3,2,3
284,3,2,1,2,1,1,4,2,3,3,1,3
285,3,2,1,1,1,1,3,1,3,2,1,3
286,2,1,1,2,1,1,4,2,4,3,2,4
287,3,1,2,2,1,1,4,2,2,3,1,6
288,3,1,2,2,1,1,4,2,2,3,1,6
289,3,1,2,2,1,1,4,2,2,3,1,6
290,3,1,2,2,1,1,4,2,2,3,1,6
291,2,0,1,0,0,1,3,1,7,2,4,4
292,3,1,2,2,1,1,4,2,2,2,1,3
293,2,1,1,1,0,0,3,1,6,4,2,6
294,5,4,2,0,1,1,4,1,4,1,0,0
295,2,2,1,0,1,1,3,1,5,3,2,4
296,4,3,4,1,1,1,3,2,3,4,2,3
297,3,1,2,0,0,2,4,1,4,4,5,6
298,3,0,2,1,1,2,3,1,4,2,3,4
299,2,0,3,0,1,0,2,1,3,2,3,4
300,2,3,0,0,1,1,1,0,4,5,4,4
301,4,1,2,0,1,0,1,0,3,1,4,4
302,2,3,0,0,1,1,1,0,4,5,4,4
303,2,2,1,0,1,1,3,0,5,2,4,4
304,3,3,1,0,1,1,3,1,4,2,3,4
305,3,3,1,0,1,1,3,1,4,2,3,4
306,3,3,1,0,1,1,3,1,4,2,3,3
307,3,3,1,0,1,1,3,1,4,2,3,4
308,2,2,1,0,0,0,2,1,4,2,3,6
309,2,2,1,0,0,1,3,1,4,2,3,4
310,2,2,1,0,0,0,2,0,6,5,5,6
311,1,4,0,1,0,1,3,0,7,3,7,8
312,3,1,2,0,0,1,3,1,5,2,3,4
313,1,2,1,0,0,1,3,1,5,4,3,4
314,1,2,1,0,0,1,3,1,5,4,3,3
315,2,1,3,0,3,1,2,1,3,2,1,4
316,2,1,2,0,0,1,2,1,4,1,4,4
317,2,1,2,1,0,1,2,1,4,1,4,3
318,2,2,2,1,0,0,2,1,7,2,5,6
319,2,0,1,0,0,0,1,1,7,4,3,4
320,2,0,1,0,0,0,1,1,8,4,3,6
321,2,1,2,1,0,1,2,1,4,1,4,3
322,2,1,2,0,0,1,2,1,4,1,4,4
323,2,1,2,1,0,1,2,1,3,1,3,4
324,4,3,3,0,1,0,4,1,2,3,5,3
325,3,1,1,0,1,4,7,1,4,4,4,3
326,3,1,2,2,0,1,4,2,2,4,3,4
327,2,2,1,0,0,1,3,1,4,4,3,4
328,2,1,2,2,0,1,4,2,4,3,2,4
329,3,1,2,0,0,1,1,0,4,3,3,3
330,2,2,2,0,0,1,2,0,5,4,7,8
331,2,1,2,0,0,1,2,1,4,1,4,3
332,2,1,1,0,0,0,1,0,5,2,6,4
333,2,1,2,1,0,0,2,1,3,2,2,3
334,1,1,1,0,0,0,1,1,4,1,4,3
335,2,1,1,0,0,0,1,0,5,2,6,4
336,2,1,1,0,0,0,2,0,5,2,5,4
337,1,1,1,1,1,1,3,1,5,2,2,4
338,2,1,2,0,1,0,3,1,6,3,3,3
339,2,0,2,0,1,1,3,1,6,7,3,6
340,3,1,2,1,1,0,3,1,4,3,1,6
341,4,1,2,0,1,0,2,1,4,3,3,4
342,2,1,2,1,1,0,3,1,4,2,1,4
343,1,2,2,0,1,1,3,1,5,6,3,3
344,1,2,2,0,1,1,3,1,5,6,3,4
345,3,0,1,0,1,1,2,1,5,2,2,4
346,1,2,0,0,0,0,1,0,5,3,5,6
347,2,1,2,2,1,2,3,2,4,2,1,4
348,3,0,2,1,1,1,2,2,3,3,3,4
349,3,0,2,1,1,1,2,1,3,2,3,3
350,2,0,2,0,1,1,3,0,4,6,5,6
351,3,2,2,0,0,1,2,0,2,0,6,6
352,1,2,1,0,1,0,2,1,3,3,2,4
353,3,2,2,0,0,1,2,0,2,0,6,6
354,1,3,2,0,1,1,5,1,4,4,2,4
355,3,1,2,2,1,1,4,2,1,1,1,4
356,3,1,2,2,1,1,4,2,1,1,1,4
357,2,2,1,0,1,0,3,1,3,6,2,4
358,5,1,2,0,1,0,3,1,2,2,3,4
359,2,1,2,0,0,1,3,1,4,4,4,4
360,2,1,1,2,1,1,3,1,5,3,3,4
361,3,2,0,0,1,0,1,1,3,2,1,3
362,2,0,1,0,1,1,2,1,6,1,2,4
363,3,1,2,2,1,1,4,2,1,1,1,4
364,2,0,2,0,0,0,2,1,7,2,5,6
365,2,1,1,0,0,0,2,0,6,5,6,6
366,2,0,1,0,2,1,3,1,7,4,4,4
367,2,2,1,0,1,1,3,1,3,2,2,4
368,3,2,2,0,1,1,3,1,4,4,4,4
369,3,3,2,1,1,0,1,1,4,0,5,3
370,2,2,1,0,1,1,3,1,3,2,2,4
371,3,2,2,0,1,1,3,1,4,4,4,4
372,2,8,1,0,1,0,4,1,5,3,3,3
373,3,1,1,0,1,0,3,1,3,3,1,4
374,1,2,1,0,0,0,1,0,7,1,7,6
375,1,2,1,0,0,0,1,0,7,1,7,6
376,2,2,1,0,0,0,2,0,5,3,3,6
377,3,1,2,0,1,0,2,1,3,2,3,6
378,1,2,3,0,1,0,3,1,4,4,3,4
379,2,2,1,0,0,0,2,0,5,3,3,6
380,3,1,2,0,1,0,2,1,3,2,3,6
381,3,1,1,1,1,1,3,2,3,3,1,4
382,3,2,1,1,1,0,3,1,3,3,1,4
383,3,1,1,0,1,0,3,1,3,3,1,4
384,2,2,2,0,0,0,2,0,5,1,5,6
385,1,2,1,0,0,0,1,0,7,1,7,6
386,1,0,3,0,0,0,2,0,6,1,4,6
387,2,3,2,0,0,2,5,1,3,5,3,3
388,2,1,1,0,1,0,3,1,6,2,2,4
389,3,2,2,2,0,2,3,2,4,4,2,6
390,3,2,2,2,0,2,3,2,4,4,2,6
391,2,2,1,0,0,0,1,0,3,2,4,3
392,2,4,0,1,0,0,2,1,5,2,3,4
393,3,1,2,0,0,0,1,0,3,3,6,4
394,2,2,3,1,1,2,3,2,4,2,1,3
395,2,1,0,0,0,2,3,0,4,2,3,3
396,4,1,2,0,0,0,1,0,3,1,5,3
397,2,1,2,0,0,1,2,0,6,3,5,4
398,2,1,1,2,1,1,3,2,5,2,2,3
399,2,1,2,0,0,1,1,0,5,2,5,4
400,2,1,2,0,0,1,2,0,6,3,5,4
401,2,2,3,1,1,2,3,2,4,2,1,3
402,2,2,0,0,1,0,2,1,4,3,1,3
403,3,1,1,2,1,1,5,2,3,3,1,3
404,2,1,1,0,0,1,3,0,4,5,7,4
405,2,1,0,0,0,2,3,0,4,2,3,3
406,1,1,2,0,0,1,2,0,6,1,7,6
407,2,4,1,0,1,0,2,1,4,3,2,3
408,2,0,2,0,1,0,2,0,4,3,3,4
409,4,1,2,0,0,0,1,0,3,1,5,3
410,3,1,2,2,0,1,3,2,2,2,1,4
411,3,1,2,1,0,1,3,2,5,6,2,4
412,3,1,2,0,0,1,1,0,3,3,4,3
413,3,1,2,0,0,1,1,0,3,3,4,3
414,3,1,2,2,0,1,3,2,2,2,1,4
415,3,1,2,1,0,1,3,2,5,6,2,4
416,3,1,1,0,0,0,2,1,4,1,2,4
417,2,1,1,1,1,1,4,1,3,2,1,3
418,3,1,1,0,0,0,2,1,4,1,2,4
419,3,2,1,0,1,1,2,1,5,3,4,4
420,3,1,1,0,0,1,2,0,3,1,7,6
421,3,1,1,1,1,1,4,1,4,3,3,4
422,3,1,1,1,1,1,4,1,4,3,3,4
423,3,1,1,1,1,1,4,1,4,3,3,4
424,2,1,2,1,1,1,3,1,5,3,4,6
425,3,1,1,1,1,1,4,1,4,3,3,4
426,3,1,1,1,1,1,4,1,4,3,3,4
427,2,2,3,1,1,1,4,1,3,2,2,3
428,3,1,1,0,1,0,1,1,3,2,1,3
429,3,2,2,1,1,1,4,2,3,3,2,3
430,2,2,3,1,1,1,4,1,3,2,2,3
431,2,2,0,0,1,0,1,1,4,1,2,3
432,3,0,2,0,1,2,4,1,4,4,3,6
433,3,4,0,0,2,0,3,1,3,4,1,1
434,3,1,2,0,0,1,2,0,5,2,6,8
435,2,1,2,0,0,0,2,0,5,3,6,6
436,2,1,1,0,0,0,4,1,4,4,2,3
437,2,0,1,0,0,1,4,0,5,4,7,8
438,3,0,2,0,1,2,4,1,4,4,3,6
439,2,2,0,0,1,0,2,1,4,3,1,3
440,2,1,2,0,0,0,2,0,5,4,5,6
441,2,2,1,0,0,0,2,1,5,5,3,4
442,2,1,1,0,0,1,2,0,6,4,7,8
443,2,4,2,1,1,1,5,2,4,3,2,4
444,2,1,2,3,0,1,3,2,4,1,4,4
445,3,2,1,1,0,0,1,1,4,2,5,0
446,1,1,1,0,1,0,3,0,7,2,7,3
447,2,3,1,2,1,0,2,2,6,3,2,4
448,2,3,1,2,1,0,2,2,6,3,2,4
449,2,1,1,0,1,1,2,1,6,3,4,6
450,3,5,1,1,1,0,3,1,2,3,1,3
451,2,1,1,0,0,1,2,0,4,2,3,3
452,2,3,0,0,0,0,3,1,6,3,4,6
453,2,1,1,0,1,1,2,1,6,3,4,6
454,2,1,1,0,1,1,2,1,6,3,4,6
455,2,3,1,2,1,0,2,2,6,3,2,4
456,2,1,1,0,0,0,1,0,5,2,7,6
457,3,1,1,1,1,0,2,1,2,3,2,3
458,2,2,1,0,1,1,4,1,5,5,2,4
459,2,3,2,1,1,2,5,1,5,3,0,3
460,3,1,1,1,1,0,2,1,2,3,2,3
461,3,1,1,2,1,1,3,2,4,2,2,3
462,2,1,1,1,1,1,3,1,5,1,2,3
463,2,2,1,0,1,0,1,1,4,1,2,4
464,3,3,3,1,1,2,3,2,3,3,1,3
465,2,1,3,1,2,1,2,1,2,2,1,3
466,3,0,1,1,0,1,3,1,4,2,2,4
467,2,2,1,0,1,0,1,1,4,1,2,4
468,3,3,3,1,1,2,3,2,3,3,1,3
469,3,2,3,2,1,1,4,2,3,3,2,3
470,4,2,4,1,0,0,3,2,2,5,2,4
471,2,2,2,0,0,1,4,1,3,6,3,3
472,2,1,1,0,0,0,1,0,4,2,7,4
473,3,0,1,0,0,1,2,1,5,3,2,6
474,1,0,1,0,0,0,2,1,4,1,2,4
475,3,1,3,1,0,1,5,1,2,4,2,3
476,3,1,2,0,0,1,2,0,2,1,7,6
477,3,1,1,0,0,0,2,1,3,3,4,4
478,3,4,0,0,1,0,3,1,2,4,1,4
479,2,1,1,0,0,2,3,1,5,3,3,4
480,2,3,2,1,1,1,3,1,4,4,1,3
481,2,2,2,0,1,1,2,0,5,3,4,4
482,1,1,1,1,1,1,2,1,5,2,2,3
483,2,3,2,1,1,1,3,1,4,4,1,3
484,2,2,1,0,9,2,4,1,5,4,2,3
485,2,0,2,0,0,1,2,1,6,3,2,4
486,2,0,2,0,0,1,2,1,6,3,2,4
487,2,2,1,0,0,1,1,0,3,2,4,4
488,3,2,1,0,1,1,3,1,5,5,4,4
489,3,1,1,1,1,1,3,1,3,2,1,4
490,3,1,2,0,0,0,1,0,3,2,6,4
491,3,1,2,0,0,0,1,0,4,2,7,6
492,3,1,1,1,0,1,4,1,4,2,3,4
493,2,1,1,0,0,0,3,0,4,4,5,4
494,2,1,2,0,0,0,2,1,5,4,4,4
495,1,3,0,0,0,0,3,0,5,3,7,4
496,3,3,3,1,0,2,4,2,3,3,0,1
497,2,1,1,0,0,1,3,0,5,3,7,4
498,1,2,2,0,0,0,3,0,4,5,3,3
499,3,3,3,1,0,2,4,2,3,3,0,1
500,3,1,3,2,1,1,4,2,3,3,2,4
501,2,1,3,2,0,1,3,2,3,3,2,4
502,2,2,1,0,0,0,4,1,4,4,3,4
503,2,2,1,0,0,0,4,1,4,4,3,3
504,3,0,1,1,1,1,3,2,3,3,1,4
505,3,0,1,1,1,1,3,2,3,3,1,4
506,3,4,1,0,2,0,2,1,2,3,1,3
507,2,1,1,0,1,1,3,1,8,3,3,6
508,2,5,1,0,0,1,3,0,6,2,6,4
509,2,1,1,0,1,1,3,1,8,3,3,6
510,2,1,0,0,0,2,2,0,4,2,3,4
511,3,2,2,0,0,0,3,0,3,2,6,4
512,3,1,2,0,0,1,3,1,3,4,4,4
513,3,2,1,0,0,0,1,0,4,1,5,4
514,3,1,1,1,0,1,2,1,4,1,3,6
515,2,2,1,0,1,0,3,1,5,2,3,4
516,2,0,2,0,1,1,3,1,3,2,1,3
517,3,0,2,0,1,1,3,0,2,4,3,4
518,2,0,1,0,1,0,1,0,6,4,4,4
519,3,2,2,1,1,0,0,1,4,2,5,3
520,3,1,1,0,0,0,3,1,2,6,2,3
521,3,1,1,0,0,0,3,1,2,6,2,3
522,2,1,2,0,0,0,2,0,2,1,5,4
523,1,2,1,0,0,0,2,0,2,1,5,4
524,1,2,2,0,0,0,1,0,5,1,5,3
525,2,2,2,0,3,0,3,1,3,2,1,4
526,3,2,2,0,0,0,0,0,2,3,7,1
527,2,1,1,0,0,1,2,0,5,2,7,4
528,1,2,0,0,0,0,2,0,6,1,6,4
529,1,1,2,0,0,0,2,0,7,2,5,4
530,2,0,2,0,1,1,2,1,6,6,2,4
531,2,0,2,0,5,2,3,1,3,2,2,3
532,3,1,2,1,1,1,3,2,2,3,1,4
